Date,Clicks,Impressions,CTR,Position
2026-06-01,15,608,2.47%,7
2026-06-02,11,562,1.96%,6.8
2026-06-03,8,378,2.12%,7.8
2026-06-04,8,347,2.31%,7.6
2026-06-05,11,374,2.94%,7.4
2026-06-06,10,371,2.7%,6.8
2026-06-07,14,388,3.61%,7.4
2026-06-08,6,377,1.59%,7.2
2026-06-09,8,352,2.27%,7.4
2026-06-10,7,316,2.22%,7.5
2026-06-11,14,318,4.4%,7.1
2026-06-12,15,318,4.72%,7.2
2026-06-13,11,357,3.08%,7.1
2026-06-14,8,301,2.66%,7.1
2026-06-15,7,330,2.12%,7.2
2026-06-16,13,351,3.7%,7.8
2026-06-17,15,450,3.33%,10.1
2026-06-18,15,414,3.62%,8.6
2026-06-19,9,325,2.77%,8.5
2026-06-20,15,529,2.84%,7.7
2026-06-21,17,557,3.05%,7.4
2026-06-22,5,208,2.4%,8.8
2026-06-23,4,206,1.94%,7.3
2026-06-24,10,274,3.65%,7.9
2026-06-25,3,232,1.29%,7.8
2026-06-26,8,240,3.33%,8.2
2026-06-27,12,245,4.9%,6.7
2026-06-28,5,246,2.03%,7
