Country,Clicks,Impressions,CTR,Position
India,9,155,5.81%,7.16
United States,7,448,1.56%,16.5
United Kingdom,3,103,2.91%,11.04
South Africa,3,19,15.79%,3.68
Philippines,2,124,1.61%,6.65
United Arab Emirates,2,29,6.9%,9.03
Trinidad & Tobago,2,3,66.67%,14
Australia,1,35,2.86%,11.89
Canada,1,22,4.55%,15.77
Singapore,1,5,20%,9.8
Iran,1,5,20%,17.4
Maldives,1,3,33.33%,10.67
Turkey,1,2,50%,5.5
Netherlands,0,223,0%,9.97
Germany,0,187,0%,10.72
Malaysia,0,21,0%,8.1
Italy,0,21,0%,9.81
Pakistan,0,15,0%,7.4
Japan,0,14,0%,7.71
Indonesia,0,14,0%,25.93
New Zealand,0,13,0%,6.77
Saudi Arabia,0,13,0%,11.85
France,0,12,0%,9.5
Bangladesh,0,9,0%,9.11
China,0,7,0%,6.29
Sri Lanka,0,7,0%,7
Fiji,0,7,0%,9.29
Qatar,0,7,0%,10.29
Israel,0,7,0%,21.43
Austria,0,6,0%,6
Nepal,0,5,0%,6.4
Sweden,0,5,0%,10.4
Romania,0,5,0%,11
Hong Kong,0,4,0%,3.75
Spain,0,4,0%,6.5
Ethiopia,0,4,0%,6.75
Kenya,0,4,0%,7.5
Azerbaijan,0,4,0%,7.75
Nigeria,0,4,0%,8
Ireland,0,4,0%,9
Serbia,0,4,0%,9.5
South Korea,0,4,0%,14
Egypt,0,3,0%,1.33
Mexico,0,3,0%,4
Myanmar (Burma),0,3,0%,5.33
Oman,0,3,0%,5.67
Kuwait,0,3,0%,6.67
Cambodia,0,3,0%,8.67
Armenia,0,3,0%,9.33
Bahrain,0,3,0%,9.33
Belgium,0,3,0%,10.33
Poland,0,3,0%,11
Peru,0,2,0%,1
Colombia,0,2,0%,2.5
Norway,0,2,0%,5
Russia,0,2,0%,5.5
Tunisia,0,2,0%,7
Ecuador,0,2,0%,9
Georgia,0,2,0%,9
Czechia,0,2,0%,10
Lesotho,0,2,0%,10
Taiwan,0,2,0%,13
Hungary,0,2,0%,14
Lebanon,0,1,0%,1
Portugal,0,1,0%,1
Tonga,0,1,0%,1
Samoa,0,1,0%,1
Jordan,0,1,0%,5
Ukraine,0,1,0%,5
Kiribati,0,1,0%,7
Uzbekistan,0,1,0%,7
Belize,0,1,0%,8
Iceland,0,1,0%,8
Bosnia & Herzegovina,0,1,0%,9
Iraq,0,1,0%,9
Kazakhstan,0,1,0%,9
Botswana,0,1,0%,10
Congo - Kinshasa,0,1,0%,10
Cyprus,0,1,0%,10
Latvia,0,1,0%,10
Nicaragua,0,1,0%,10
Finland,0,1,0%,11
Ghana,0,1,0%,11
Mongolia,0,1,0%,11
Northern Mariana Islands,0,1,0%,12
Dominican Republic,0,1,0%,17
Syria,0,1,0%,28
Switzerland,0,1,0%,37
Paraguay,0,1,0%,50
